matchup_id,name,Odds,bet_size,predicted_winner_scaled,implied_probability_scaled,betting_edge,won,potential_winnings,total_return,net,profit,event_name,date_added
df1,Marvin Vettori,-162,1,0.875,0.593,0.282,0,0.0,0.0,-1.0,0.0,UFC Fight Night: Vettori vs. Dolidze 2,2025-03-21
df3,Alexander Hernandez,-205,3,1.235,0.645,0.59,1,1.463,4.463,1.463,1.488,UFC Fight Night: Vettori vs. Dolidze 2,2025-03-21
df4,Cody Gibson,350,1,0.323,0.213,0.109,0,0.0,0.0,-1.0,0.0,UFC Fight Night: Vettori vs. Dolidze 2,2025-03-21
df9,Josias Musasa,-700,1,0.966,0.84,0.126,0,0.0,0.0,-1.0,0.0,UFC Fight Night: Vettori vs. Dolidze 2,2025-03-21
df12,Priscila Cachoeira,154,1,0.537,0.378,0.159,1,1.54,2.54,1.54,2.54,UFC Fight Night: Vettori vs. Dolidze 2,2025-03-21
df13,Yuneisy Duben,285,2,0.595,0.249,0.345,0,0.0,0.0,-2.0,0.0,UFC Fight Night: Vettori vs. Dolidze 2,2025-03-21
df2,Carlos Ulberg,-298,2,1.035,0.718,0.317,1,0.671,2.671,0.671,1.336,UFC Fight Night: Edwards vs. Brady,2025-03-23
df7,Chris Padilla,-108,1,0.619,0.496,0.123,1,0.926,1.926,0.926,1.926,UFC Fight Night: Edwards vs. Brady,2025-03-23
df8,Felipe dos Santos,235,3,1.556,0.286,1.27,0,0.0,0.0,-3.0,0.0,UFC Fight Night: Edwards vs. Brady,2025-03-23
df11,Puja Tomar,142,2,0.784,0.396,0.388,0,0.0,0.0,-2.0,0.0,UFC Fight Night: Edwards vs. Brady,2025-03-23
df12,Nathan Fletcher,-115,3,1.012,0.511,0.501,0,0.0,0.0,-3.0,0.0,UFC Fight Night: Edwards vs. Brady,2025-03-23
df1,Brandon Moreno,-245,1,0.914,0.681,0.233,1,0.408,1.408,0.408,1.408,UFC Fight Night: Moreno vs. Erceg,2025-03-30
df4,Raul Rosas Jr.,-485,1,1.085,0.796,0.29,1,0.206,1.206,0.206,1.206,UFC Fight Night: Moreno vs. Erceg,2025-03-30
df9,Melquizael Costa,142,1,0.574,0.396,0.177,1,1.42,2.42,1.42,2.42,UFC Fight Night: Moreno vs. Erceg,2025-03-30
df12,Gabriel Miranda,295,2,0.645,0.243,0.402,0,0.0,0.0,-2.0,0.0,UFC Fight Night: Moreno vs. Erceg,2025-03-30
df4,Gerald Meerschaert,164,1,0.493,0.363,0.13,0,0.0,0.0,-1.0,0.0,UFC Fight Night: Emmett vs. Murphy,2025-04-06
df5,Ode Osbourne,215,3,1.308,0.304,1.003,1,6.45,9.45,6.45,3.15,UFC Fight Night: Emmett vs. Murphy,2025-04-06
df9,Daniel Frunza,-155,1,0.76,0.583,0.177,0,0.0,0.0,-1.0,0.0,UFC Fight Night: Emmett vs. Murphy,2025-04-06
df10,Loma Lookboonmee,-700,1,1.134,0.855,0.279,1,0.143,1.143,0.143,1.143,UFC Fight Night: Emmett vs. Murphy,2025-04-06
df11,Pedro Falcao,180,1,0.58,0.343,0.237,0,0.0,0.0,-1.0,0.0,UFC Fight Night: Emmett vs. Murphy,2025-04-06
df13,Talita Alencar,-112,2,0.969,0.504,0.465,1,1.786,3.786,1.786,1.893,UFC Fight Night: Emmett vs. Murphy,2025-04-06
df2,Paddy Pimblett,-155,1,0.726,0.583,0.143,1,0.645,1.645,0.645,1.645,UFC 314: Volkanovski vs. Lopes,2025-04-13
df4,Jean Silva,-218,1,0.65,0.397,0.253,1,0.459,1.459,0.459,1.459,UFC 314: Volkanovski vs. Lopes,2025-04-13
df5,Dominick Reyes,150,2,0.699,0.384,0.315,1,3.0,5.0,3.0,2.5,UFC 314: Volkanovski vs. Lopes,2025-04-13
df8,Chase Hooper,-900,2,1.333,0.863,0.47,1,0.222,2.222,0.222,1.111,UFC 314: Volkanovski vs. Lopes,2025-04-13
df9,Darren Elkins,270,3,0.844,0.259,0.584,0,0.0,0.0,-3.0,0.0,UFC 314: Volkanovski vs. Lopes,2025-04-13
df11,Cameron Saaiman,-102,1,0.657,0.483,0.174,0,0.0,0.0,-1.0,0.0,UFC Fight Night: Machado Garry vs. Prates,2025-04-28
df12,Polyana Viana,600,3,0.916,0.137,0.779,0,0.0,0.0,-3.0,0.0,UFC Fight Night: Machado Garry vs. Prates,2025-04-28
df1,Deiveson Figueiredo,400,2,0.57,0.192,0.378,0,0.0,0.0,-2.0,0.0,UFC Fight Night: Sandhagen vs. Figueiredo,2025-05-04
df4,Montel Jackson,-198,1,0.764,0.637,0.127,1,0.505,1.505,0.505,1.505,UFC Fight Night: Sandhagen vs. Figueiredo,2025-05-04
df5,Cameron Smotherman,120,1,0.718,0.437,0.281,0,0.0,0.0,-1.0,0.0,UFC Fight Night: Sandhagen vs. Figueiredo,2025-05-04
df8,Azamat Bekoev,-410,1,0.93,0.772,0.158,1,0.244,1.244,0.244,1.244,UFC Fight Night: Sandhagen vs. Figueiredo,2025-05-04
df9,Gillian Robertson,-310,1,0.936,0.726,0.21,1,0.323,1.323,0.323,1.323,UFC Fight Night: Sandhagen vs. Figueiredo,2025-05-04
